AETHALOMETER
Serial number = AE33-C06-00589
Application version = 1.4.2.0
Number of channels = 7

Date(yyyy/MM/dd); Time(hh:mm:ss); Timebase; RefCh1; Sen1Ch1; Sen2Ch1; RefCh2; Sen1Ch2; Sen2Ch2; RefCh3; Sen1Ch3; Sen2Ch3; RefCh4; Sen1Ch4; Sen2Ch4; RefCh5; Sen1Ch5; Sen2Ch5; RefCh6; Sen1Ch6; Sen2Ch6; RefCh7; Sen1Ch7; Sen2Ch7; Flow1; Flow2; FlowC; Pressure(Pa); Temperature(°C); BB(%); ContTemp; SupplyTemp; Status; ContStatus; DetectStatus; LedStatus; ValveStatus; LedTemp; BC11; BC12; BC1; BC21; BC22; BC2; BC31; BC32; BC3; BC41; BC42; BC4; BC51; BC52; BC5; BC61; BC62; BC6; BC71; BC72; BC7; K1; K2; K3; K4; K5; K6; K7; TapeAdvCount;
2018/01/15 00:11:00 60 936263 389201 612774 897831 458272 649295 891376 503259 705665 907477 561236 763609 854535 611690 792784 669410 676534 825646 716705 664436 834955 3596 1408 5004 101325 21.11 30.3 26 39 0 0 10 10 00000 26 301 553 630 339 503 559 321 486 490 342 531 494 336 484 465 342 500 426 350 464 427 0.006697496 0.006877851 0.007019253 0.007195262 0.007484177 0.007077009 0.006895402 133
2018/01/15 00:12:00 60 936331 389057 612653 897919 458163 649227 891424 503120 705576 907591 561149 763584 854638 611603 792774 669506 676497 825698 716800 664402 834981 3596 1408 5004 101325 21.11 21.9 26 39 0 0 10 10 00000 26 342 533 715 329 508 543 358 499 546 346 498 500 362 468 501 364 377 453 364 514 444 0.006694941 0.00687498 0.007014538 0.007190906 0.007476516 0.007058762 0.006889835 133
2018/01/15 00:13:00 60 936306 388875 612463 897871 457978 649074 891413 502960 705456 907569 560971 763457 854610 611433 792640 669458 676318 825550 716772 664244 834872 3596 1408 5004 101325 21.11 17.7 26 40 0 0 10 10 00000 26 341 559 713 344 456 567 332 437 506 361 447 522 338 480 467 354 504 441 394 463 480 0.006692796 0.006870157 0.007008906 0.007183257 0.007471462 0.007053784 0.006875744 133
2018/01/15 00:14:00 60 936371 388742 612336 897935 457848 648976 891439 502812 705348 907576 560820 763344 854648 611309 792575 669518 676242 825537 716844 664189 834877 3596 1408 5004 101325 21.11 29.2 25 40 0 0 10 10 00000 26 318 546 665 348 557 575 351 505 535 341 490 493 341 445 471 371 494 462 363 478 443 0.006690962 0.006867829 0.007004792 0.007178786 0.007464043 0.007045939 0.006866967 133
2018/01/15 00:15:00 60 936342 388561 612151 897886 457665 648818 891421 502643 705214 907536 560641 763205 854637 611152 792459 669545 676139 825504 716829 664044 834780 3596 1408 5004 101325 21.11 16.8 25 40 0 0 10 10 00000 26 336 535 703 339 473 559 343 471 523 339 434 490 336 470 465 354 376 440 392 483 477 0.00668863 0.006863732 0.006999923 0.007171991 0.007458662 0.00702916 0.006855534 133
2018/01/15 00:16:00 60 936372 388408 612001 897911 457509 648708 891437 502488 705094 907579 560512 763121 854647 611005 792367 669547 676006 825413 716899 663982 834771 3596 1408 5004 101325 21.11 28.7 25 40 0 0 10 10 00000 26 329 547 689 362 495 597 354 521 540 342 495 494 348 450 481 367 531 456 379 549 462 0.006686617 0.006859279 0.006996419 0.007167905 0.007451198 0.00702555 0.006852458 133
2018/01/15 00:17:00 60 936303 388212 611791 897872 457332 648550 891390 502315 704940 907508 560309 762950 854602 610828 792223 669460 675788 825232 716778 663748 834565 3596 1408 5004 101325 21.11 24.8 25 40 0 0 10 10 00000 26 333 531 697 337 501 556 316 459 482 350 459 506 327 454 452 353 419 440 364 395 444 0.006684336 0.006856092 0.006992586 0.007161716 0.007445746 0.007012977 0.006835324 133
2018/01/15 00:18:00 60 936357 388078 611662 897903 457200 648450 891418 502177 704842 907519 560181 762856 854629 610697 792140 669491 675684 825178 716793 663650 834503 3596 1408 5004 101325 21.11 27.9 25 41 0 0 10 10 00000 26 311 530 652 317 473 523 332 472 507 296 426 428 339 480 469 367 524 457 334 482 407 0.006682499 0.006852843 0.00698837 0.00715719 0.007440817 0.007008849 0.006830718 133
2018/01/15 00:19:00 60 936372 387939 611514 897923 457056 648336 891420 502035 704738 907566 560050 762778 854615 610548 792035 669485 675556 825099 716851 663581 834503 3596 1408 5004 101325 21.11 21.8 25 41 0 0 10 10 00000 26 289 509 606 331 496 546 309 415 472 352 485 509 314 409 434 331 407 412 367 410 446 0.006680855 0.006849604 0.006983122 0.007151994 0.007433516 0.006997604 0.006815049 133
2018/01/15 00:20:00 60 936390 387779 611370 897937 456910 648223 891442 501895 704627 907559 559899 762663 854634 610423 791961 669547 675497 825100 716873 663498 834460 3594 1410 5004 101325 21.11 43.3 26 41 0 0 10 10 00000 26 334 502 699 329 475 543 330 504 503 323 449 467 313 406 433 330 428 411 309 416 376 0.006678138 0.006846008 0.006980309 0.007146984 0.007426179 0.006988426 0.006806384 133
2018/01/15 00:21:00 60 936457 387648 611243 898018 456796 648160 891487 501767 704546 907635 559805 762628 854693 610319 791921 669619 675436 825101 716946 663447 834481 3594 1410 5004 101325 21.11 27.0 26 41 0 0 10 10 00000 26 316 550 663 333 469 550 332 458 506 310 407 448 330 420 456 363 498 452 355 388 431 0.006676472 0.006841998 0.006975589 0.007140778 0.007418383 0.006982236 0.006789667 133
2018/01/15 00:22:00 60 936438 387489 611063 897987 456631 648017 891474 501615 704423 907581 559627 762473 854664 610153 791786 669598 675296 824998 716932 663315 834380 3595 1409 5004 101325 21.11 21.7 26 41 0 0 10 10 00000 26 301 540 632 321 466 529 313 443 477 318 452 460 328 480 454 323 438 402 356 514 433 0.00667504 0.006838457 0.006971328 0.007136213 0.007414448 0.006975018 0.006786184 133
2018/01/15 00:23:00 60 936458 387339 610921 897995 456484 647897 891492 501477 704319 907560 559469 762352 854696 610037 791720 669591 675162 824921 716932 663188 834295 3595 1409 5004 101325 21.11 15.6 26 41 0 0 10 10 00000 26 316 500 662 325 486 536 321 465 489 319 426 461 314 425 434 345 388 429 380 516 462 0.006672767 0.006835418 0.006967623 0.007130523 0.007408415 0.0069609 0.006780305 133
2018/01/15 00:24:00 60 936437 387168 610743 897970 456316 647749 891498 501327 704203 907537 559303 762219 854693 609883 791610 669597 675037 824848 716950 663089 834244 3594 1410 5004 101325 21.11 30.3 25 40 0 0 10 10 00000 26 324 530 680 334 502 551 332 475 506 334 468 483 343 476 474 356 456 443 346 436 421 0.006670722 0.006832452 0.006963698 0.007125909 0.007403261 0.006952001 0.006770017 133
2018/01/15 00:25:00 60 936404 386995 610570 897936 456144 647601 891443 501146 704040 907502 559120 762065 854651 609702 791469 669525 674834 824688 716891 662915 834100 3593 1411 5004 101325 21.11 25.8 25 40 0 0 10 10 00000 26 318 488 668 333 477 549 325 470 496 356 513 514 342 453 472 355 404 441 358 457 435 0.006668203 0.006828783 0.006959893 0.007122032 0.007396724 0.006938204 0.006760441 133
2018/01/15 00:26:00 60 936394 386828 610383 897925 455981 647462 891450 500989 703918 907540 558988 761974 854650 609551 791371 669501 674669 824550 716898 662783 834017 3593 1411 5004 101325 21.11 10.7 25 41 0 0 10 10 00000 26 325 582 683 339 506 559 349 501 532 343 506 495 340 431 470 383 615 477 415 552 504 0.006666859 0.006825753 0.00695612 0.007118722 0.007389118 0.006941397 0.006754196 133
2018/01/15 00:27:00 60 936466 386711 610274 897976 455852 647369 891499 500864 703847 907549 558840 761874 854668 609416 791281 669557 674605 824555 716901 662679 833966 3589 1415 5004 101325 21.11 40.8 26 41 0 0 10 10 00000 26 294 501 617 334 500 551 331 430 505 339 442 490 335 472 463 328 362 408 320 329 389 0.006664944 0.006822391 0.006950157 0.007112113 0.007383827 0.006925912 0.006735118 133
2018/01/15 00:28:00 60 936378 386511 610050 897882 455645 647183 891444 500687 703682 907453 558633 761675 854575 609213 791102 669451 674370 824337 716797 662449 833752 3586 1418 5004 101325 21.11 15.8 26 39 0 0 10 10 00000 26 328 535 689 344 454 567 318 476 484 327 485 472 310 410 428 350 494 435 402 561 489 0.00666271 0.006817416 0.006946642 0.007108301 0.007376555 0.0069203 0.006730434 133
2018/01/15 00:29:00 60 936341 386338 609867 897884 455491 647048 891398 500512 703530 907460 558476 761560 854545 609037 790961 669424 674214 824228 716782 662326 833669 3587 1417 5004 101325 21.11 38.0 26 39 0 0 10 10 00000 26 316 510 664 335 525 552 324 453 494 357 496 515 351 500 484 351 428 437 328 396 398 0.006660431 0.006814798 0.006941966 0.007103231 0.007371838 0.00690852 0.006717242 133
