Timestamp,BC6
2018-01-15 01:00:00,413
2018-01-15 01:01:00,409
2018-01-15 01:02:00,406
2018-01-15 01:03:00,404
2018-01-15 01:04:00,401
2018-01-15 01:05:00,399
2018-01-15 01:06:00,397
2018-01-15 01:07:00,395
2018-01-15 01:08:00,393
2018-01-15 01:09:00,390
2018-01-15 01:10:00,388
2018-01-15 01:11:00,386
2018-01-15 01:12:00,385
2018-01-15 01:13:00,383
2018-01-15 01:14:00,382
2018-01-15 01:15:00,380
2018-01-15 01:16:00,379
2018-01-15 01:17:00,376
2018-01-15 01:18:00,374
2018-01-15 01:19:00,373
2018-01-15 01:20:00,372
2018-01-15 01:21:00,370
2018-01-15 01:22:00,369
2018-01-15 01:23:00,368
2018-01-15 01:24:00,367
2018-01-15 01:25:00,365
2018-01-15 01:26:00,362
2018-01-15 01:27:00,362
2018-01-15 01:28:00,360
2018-01-15 01:29:00,359
2018-01-15 01:30:00,358
2018-01-15 01:31:00,357
2018-01-15 01:32:00,357
2018-01-15 01:33:00,355
2018-01-15 01:34:00,352
2018-01-15 01:35:00,350
2018-01-15 01:36:00,350
2018-01-15 01:37:00,349
2018-01-15 01:38:00,350
2018-01-15 01:39:00,350
2018-01-15 01:40:00,350
2018-01-15 01:41:00,350
2018-01-15 01:42:00,349
2018-01-15 01:43:00,349
2018-01-15 01:44:00,350
2018-01-15 01:45:00,348
2018-01-15 01:46:00,348
2018-01-15 01:47:00,349
2018-01-15 01:48:00,348
2018-01-15 01:49:00,349
2018-01-15 01:50:00,348
2018-01-15 01:51:00,347
2018-01-15 01:52:00,346
2018-01-15 01:53:00,348
2018-01-15 01:54:00,349
2018-01-15 01:55:00,350
2018-01-15 01:56:00,350
2018-01-15 01:57:00,349
2018-01-15 01:58:00,349
2018-01-15 01:59:00,349
2018-01-15 02:00:00,350
2018-01-15 02:01:00,350
2018-01-15 02:02:00,354
2018-01-15 02:03:00,356
2018-01-15 02:04:00,359
2018-01-15 02:05:00,361
2018-01-15 02:06:00,362
2018-01-15 02:07:00,362
2018-01-15 02:08:00,363
2018-01-15 02:09:00,365
2018-01-15 02:10:00,366
2018-01-15 02:11:00,367
2018-01-15 02:12:00,366
2018-01-15 02:13:00,367
2018-01-15 02:14:00,366
2018-01-15 02:15:00,367
2018-01-15 02:16:00,367
2018-01-15 02:17:00,370
2018-01-15 02:18:00,371
2018-01-15 02:19:00,371
2018-01-15 02:20:00,371
2018-01-15 02:21:00,372
2018-01-15 02:22:00,372
2018-01-15 02:23:00,372
2018-01-15 02:24:00,372
2018-01-15 02:25:00,372
2018-01-15 02:26:00,372
2018-01-15 02:27:00,372
2018-01-15 02:28:00,373
2018-01-15 02:29:00,373
2018-01-15 02:30:00,372
2018-01-15 02:31:00,372
2018-01-15 02:32:00,371
2018-01-15 02:33:00,372
2018-01-15 02:34:00,372
2018-01-15 02:35:00,372
2018-01-15 02:36:00,372
2018-01-15 02:37:00,373
2018-01-15 02:38:00,372
2018-01-15 02:39:00,372
2018-01-15 02:40:00,370
2018-01-15 02:41:00,371
2018-01-15 02:42:00,371
2018-01-15 02:43:00,371
2018-01-15 02:44:00,371
2018-01-15 02:45:00,372
2018-01-15 02:46:00,371
2018-01-15 02:47:00,371
2018-01-15 02:48:00,371
2018-01-15 02:49:00,370
2018-01-15 02:50:00,371
2018-01-15 02:51:00,371
2018-01-15 02:52:00,371
2018-01-15 02:53:00,370
2018-01-15 02:54:00,369
2018-01-15 02:55:00,369
2018-01-15 02:56:00,368
2018-01-15 02:57:00,368
2018-01-15 02:58:00,369
2018-01-15 02:59:00,369
2018-01-15 03:00:00,370
2018-01-15 03:01:00,369
2018-01-15 03:02:00,366
2018-01-15 03:03:00,363
2018-01-15 03:04:00,361
2018-01-15 03:05:00,359
2018-01-15 03:06:00,359
2018-01-15 03:07:00,359
2018-01-15 03:08:00,359
2018-01-15 03:09:00,360
2018-01-15 03:10:00,361
2018-01-15 03:11:00,360
2018-01-15 03:12:00,360
2018-01-15 03:13:00,360
2018-01-15 03:14:00,361
2018-01-15 03:15:00,360
2018-01-15 03:16:00,361
2018-01-15 03:17:00,359
2018-01-15 03:18:00,358
2018-01-15 03:19:00,358
2018-01-15 03:20:00,358
2018-01-15 03:21:00,357
2018-01-15 03:22:00,358
2018-01-15 03:23:00,358
2018-01-15 03:24:00,358
2018-01-15 03:25:00,358
2018-01-15 03:26:00,358
2018-01-15 03:27:00,359
2018-01-15 03:28:00,359
2018-01-15 03:29:00,360
2018-01-15 03:30:00,361
2018-01-15 03:31:00,361
2018-01-15 03:32:00,361
2018-01-15 03:33:00,360
2018-01-15 03:34:00,361
2018-01-15 03:35:00,361
2018-01-15 03:36:00,361
2018-01-15 03:37:00,361
2018-01-15 03:38:00,362
2018-01-15 03:39:00,362
2018-01-15 03:40:00,362
2018-01-15 03:41:00,363
2018-01-15 03:42:00,363
2018-01-15 03:43:00,363
2018-01-15 03:44:00,363
2018-01-15 03:45:00,363
2018-01-15 03:46:00,363
2018-01-15 03:47:00,363
2018-01-15 03:48:00,362
2018-01-15 03:49:00,362
2018-01-15 03:50:00,362
2018-01-15 03:51:00,360
2018-01-15 03:52:00,361
2018-01-15 03:53:00,361
2018-01-15 03:54:00,362
2018-01-15 03:55:00,361
2018-01-15 03:56:00,361
2018-01-15 03:57:00,360
2018-01-15 03:58:00,360
